Airline,Airline ID,Source airport,Destination airport
CE,3613,BES,BOD
CE,3613,BOD,BES
CE,3613,BOD,RNS
CE,3613,LIG,AVN
CE,3613,LIG,LYS
CE,3613,LYS,LIG
CE,3613,RNS,BOD
CI,1756,AMS,LHR
CI,1756,AMS,MAN
CI,1756,LHR,AMS
CY,1942,MUC,FRA
DC,2585,AGH,BMA
DC,2585,BMA,AGH
DC,2585,BMA,HAD
DC,2585,BMA,KLR
DC,2585,BMA,RNB
DC,2585,BMA,SDL
DC,2585,BMA,THN
DC,2585,BMA,VBY
DC,2585,BMA,VXO
DC,2585,GSE,VBY
DC,2585,HAD,BMA
DC,2585,KLR,BMA
DC,2585,MMX,VBY
DC,2585,RNB,BMA
DC,2585,SDL,BMA
DC,2585,THN,BMA
DC,2585,VBY,BMA
DC,2585,VBY,GSE
DC,2585,VBY,MMX
DC,2585,VXO,BMA
DE,1868,AYT,CGN
DE,1868,AYT,DUS
DE,1868,AYT,FRA
DE,1868,AYT,HAJ
DE,1868,AYT,HAM
DE,1868,AYT,LEJ
DE,1868,AYT,MUC
DE,1868,AYT,PAD
DE,1868,AYT,STR
DE,1868,AYT,SXF
DE,1868,CFU,FRA
DE,1868,CFU,HAM
DE,1868,CGN,AYT
DE,1868,CGN,PMI
DE,1868,CHQ,DUS
DE,1868,DLM,DUS
DE,1868,DLM,FRA
DE,1868,DLM,HAJ
DE,1868,DLM,HAM
DE,1868,DLM,MUC
DE,1868,DLM,STR
DE,1868,DLM,SXF
DE,1868,DUS,AYT
DE,1868,DUS,CFU
DE,1868,DUS,CHQ
DE,1868,DUS,DLM
DE,1868,DUS,FNC
DE,1868,DUS,HER
DE,1868,DUS,IBZ
DE,1868,DUS,KGS
DE,1868,DUS,PMI
DE,1868,DUS,RHO
DE,1868,DUS,XRY
DE,1868,FNC,DUS
DE,1868,FNC,FRA
DE,1868,FNC,HAM
DE,1868,FNC,LEJ
DE,1868,FNC,MUC
DE,1868,FNC,STR
DE,1868,FRA,AYT
DE,1868,FRA,CFU
DE,1868,FRA,CHQ
DE,1868,FRA,DBV
DE,1868,FRA,DLM
DE,1868,FRA,FNC
DE,1868,FRA,HER
DE,1868,FRA,IBZ
DE,1868,FRA,KGS
DE,1868,FRA,PMI
DE,1868,FRA,RHO
DE,1868,FRA,SPU
DE,1868,FRA,XRY
DE,1868,HAJ,AYT
DE,1868,HAJ,DLM
DE,1868,HAJ,HER
DE,1868,HAJ,KGS
DE,1868,HAJ,PMI
DE,1868,HAJ,RHO
DE,1868,HAM,AYT
DE,1868,HAM,CFU
DE,1868,HAM,DLM
DE,1868,HAM,FNC
DE,1868,HAM,HER
DE,1868,HAM,KGS
DE,1868,HAM,PMI
DE,1868,HAM,RHO
DE,1868,HAM,XRY
DE,1868,HER,DUS
DE,1868,HER,FRA
DE,1868,HER,HAJ
DE,1868,HER,HAM
DE,1868,HER,LEJ
DE,1868,HER,MUC
DE,1868,HER,STR
DE,1868,HER,SXF
DE,1868,IBZ,DUS
DE,1868,IBZ,FRA
DE,1868,IBZ,MAN
DE,1868,IBZ,MUC
DE,1868,KGS,DUS
DE,1868,KGS,FRA
DE,1868,KGS,HAJ
DE,1868,KGS,HAM
DE,1868,KGS,MUC
DE,1868,KGS,STR
DE,1868,KGS,SXF
DE,1868,LEJ,AYT
DE,1868,LEJ,CFU
DE,1868,LEJ,FNC
DE,1868,LEJ,HER
DE,1868,LEJ,PMI
DE,1868,LEJ,RHO
DE,1868,MAN,IBZ
DE,1868,MAN,PMI
DE,1868,MAN,ZTH
DE,1868,MUC,AYT
DE,1868,MUC,CFU
DE,1868,MUC,CHQ
DE,1868,MUC,DLM
DE,1868,MUC,FNC
DE,1868,MUC,HER
DE,1868,MUC,IBZ
DE,1868,MUC,KGS
DE,1868,MUC,PMI
DE,1868,MUC,RHO
DE,1868,MUC,XRY
DE,1868,PAD,AYT
DE,1868,PAD,PMI
DE,1868,PMI,CGN
DE,1868,PMI,DUS
DE,1868,PMI,FRA
DE,1868,PMI,HAJ
DE,1868,PMI,HAM
DE,1868,PMI,LEJ
DE,1868,PMI,MAN
DE,1868,PMI,MUC
DE,1868,PMI,PAD
DE,1868,PMI,STR
DE,1868,PMI,SXF
DE,1868,RHO,DUS
DE,1868,RHO,FRA
DE,1868,RHO,HAJ
DE,1868,RHO,HAM
DE,1868,RHO,LEJ
DE,1868,RHO,MUC
DE,1868,RHO,STR
DE,1868,RHO,SXF
DE,1868,SPU,FRA
DE,1868,STR,AYT
DE,1868,STR,DLM
DE,1868,STR,FNC
DE,1868,STR,HER
DE,1868,STR,KGS
DE,1868,STR,PMI
DE,1868,STR,RHO
DE,1868,STR,XRY
DE,1868,SXF,AYT
DE,1868,SXF,CFU
DE,1868,SXF,DLM
DE,1868,SXF,HER
DE,1868,SXF,KGS
DE,1868,SXF,PMI
DE,1868,SXF,RHO
DE,1868,SXF,XRY
DE,1868,XRY,DUS
DE,1868,XRY,FRA
DE,1868,XRY,HAM
DE,1868,XRY,MUC
DE,1868,XRY,STR
DE,1868,XRY,SXF
DE,1868,ZTH,MAN
DL,2009,BTS,PRG
DL,2009,CDG,LYS
DL,2009,CDG,TLS
DL,2009,HAM,AMS
DL,2009,KSC,BTS
DL,2009,MRS,CDG
DX,1954,AAL,BLL
DX,1954,AAL,SVG
DX,1954,BLL,AAL
DX,1954,BLL,EBJ
DX,1954,BLL,SVG
DX,1954,CPH,RNN
DX,1954,EBJ,BLL
DX,1954,MOL,SRP
DX,1954,OSL,SRP
DX,1954,RNN,CPH
DX,1954,SRP,MOL
DX,1954,SRP,OSL
DX,1954,SRP,SVG
DX,1954,SVG,AAL
DX,1954,SVG,BLL
DX,1954,SVG,SRP
DY,3737,AAL,AGP
DY,3737,AAL,ALC
DY,3737,AAL,CPH
DY,3737,AAL,LGW
DY,3737,AAL,PMI
DY,3737,AES,ALC
DY,3737,AES,LGW
DY,3737,AES,OSL
DY,3737,AGP,AAL
DY,3737,AGP,ARN
DY,3737,AGP,BGO
DY,3737,AGP,CGN
DY,3737,AGP,CPH
DY,3737,AGP,GOT
DY,3737,AGP,HAM
DY,3737,AGP,HEL
DY,3737,AGP,LGW
DY,3737,AGP,MUC
DY,3737,AGP,OSL
DY,3737,AGP,RYG
DY,3737,AGP,SVG
DY,3737,AGP,TRD
DY,3737,AGP,TRF
DY,3737,AGP,WAW
DY,3737,AJA,ARN
DY,3737,AJA,OSL
DY,3737,ALC,AAL
DY,3737,ALC,AES
DY,3737,ALC,ARN
DY,3737,ALC,BGO
DY,3737,ALC,BLL
DY,3737,ALC,CGN
DY,3737,ALC,CPH
DY,3737,ALC,EVE
DY,3737,ALC,GOT
DY,3737,ALC,HAM
DY,3737,ALC,HEL
DY,3737,ALC,KSD
DY,3737,ALC,LGW
DY,3737,ALC,MOL
DY,3737,ALC,MUC
DY,3737,ALC,OSL
DY,3737,ALC,OUL
DY,3737,ALC,RYG
DY,3737,ALC,SVG
DY,3737,ALC,TKU
DY,3737,ALC,TOS
DY,3737,ALC,TRD
DY,3737,ALC,TRF
DY,3737,ALC,UME
DY,3737,ALF,OSL
DY,3737,ALF,TOS
DY,3737,AMS,ARN
DY,3737,AMS,CPH
DY,3737,AMS,OSL
DY,3737,ARN,AGP
DY,3737,ARN,AJA
DY,3737,ARN,ALC
DY,3737,ARN,AMS
DY,3737,ARN,ATH
DY,3737,ARN,BCN
DY,3737,ARN,BEG
DY,3737,ARN,BGO
DY,3737,ARN,BUD
DY,3737,ARN,CHQ
DY,3737,ARN,CPH
DY,3737,ARN,CTA
DY,3737,ARN,DBV
DY,3737,ARN,EDI
DY,3737,ARN,FAO
DY,3737,ARN,FCO
DY,3737,ARN,GOT
DY,3737,ARN,HEL
DY,3737,ARN,KRK
DY,3737,ARN,KRN
DY,3737,ARN,LGW
DY,3737,ARN,LLA
DY,3737,ARN,MAN
DY,3737,ARN,MMX
DY,3737,ARN,MUC
DY,3737,ARN,NCE
DY,3737,ARN,OLB
DY,3737,ARN,ORY
DY,3737,ARN,OSL
DY,3737,ARN,PMI
DY,3737,ARN,PMO
DY,3737,ARN,PRG
DY,3737,ARN,PSA
DY,3737,ARN,RIX
DY,3737,ARN,SJJ
DY,3737,ARN,SPU
DY,3737,ARN,SXF
DY,3737,ARN,UME
DY,3737,ARN,VAA
DY,3737,ARN,VCE
DY,3737,ARN,VNO
DY,3737,ATH,ARN
DY,3737,ATH,CPH
DY,3737,ATH,HEL
DY,3737,ATH,OSL
DY,3737,AYT,BGO
DY,3737,AYT,OSL
DY,3737,AYT,TRD
DY,3737,AYT,TRF
DY,3737,BCN,ARN
DY,3737,BCN,BGO
DY,3737,BCN,CPH
DY,3737,BCN,GOT
DY,3737,BCN,HAM
DY,3737,BCN,HEL
DY,3737,BCN,LGW
DY,3737,BCN,OSL
DY,3737,BCN,SXF
DY,3737,BCN,TRF
DY,3737,BCN,WAW
DY,3737,BDU,OSL
DY,3737,BEG,ARN
DY,3737,BEG,OSL
DY,3737,BGO,AGP
DY,3737,BGO,ALC
DY,3737,BGO,ARN
DY,3737,BGO,AYT
DY,3737,BGO,BCN
DY,3737,BGO,CHQ
DY,3737,BGO,CPH
DY,3737,BGO,DBV
DY,3737,BGO,EDI
DY,3737,BGO,FCO
DY,3737,BGO,KRK
DY,3737,BGO,LGW
DY,3737,BGO,NCE
DY,3737,BGO,ORY
DY,3737,BGO,OSL
DY,3737,BGO,PMI
DY,3737,BGO,PRG
DY,3737,BGO,SVG
DY,3737,BGO,SXF
DY,3737,BGO,TRD
DY,3737,BGO,TRF
DY,3737,BIO,OSL
DY,3737,BLL,ALC
DY,3737,BLL,OSL
DY,3737,BOJ,CPH
DY,3737,BOJ,HEL
DY,3737,BOJ,OSL
DY,3737,BOO,OSL
DY,3737,BTS,OSL
DY,3737,BUD,ARN
DY,3737,BUD,CPH
DY,3737,BUD,HEL
DY,3737,BUD,LGW
DY,3737,BUD,OSL
DY,3737,CGN,AGP
DY,3737,CGN,ALC
DY,3737,CGN,OSL
DY,3737,CHQ,ARN
DY,3737,CHQ,BGO
DY,3737,CHQ,CPH
DY,3737,CHQ,HEL
DY,3737,CHQ,OSL
DY,3737,CPH,AAL
DY,3737,CPH,AGP
DY,3737,CPH,ALC
DY,3737,CPH,AMS
DY,3737,CPH,ARN
DY,3737,CPH,ATH
DY,3737,CPH,BCN
DY,3737,CPH,BGO
DY,3737,CPH,BOJ
DY,3737,CPH,BUD
DY,3737,CPH,CHQ
DY,3737,CPH,CTA
DY,3737,CPH,DUB
DY,3737,CPH,EDI
DY,3737,CPH,FAO
DY,3737,CPH,FCO
DY,3737,CPH,HEL
DY,3737,CPH,KRK
DY,3737,CPH,KRP
DY,3737,CPH,LGW
DY,3737,CPH,LIS
DY,3737,CPH,MAD
DY,3737,CPH,MLA
DY,3737,CPH,NCE
DY,3737,CPH,ORY
DY,3737,CPH,OSL
DY,3737,CPH,PMI
DY,3737,CPH,PRG
DY,3737,CPH,PSA
DY,3737,CPH,RIX
DY,3737,CPH,SPU
DY,3737,CPH,SXF
DY,3737,CPH,TRD
DY,3737,CPH,VCE
DY,3737,CPH,ZAG
DY,3737,CTA,ARN
DY,3737,CTA,CPH
DY,3737,CTA,LGW
DY,3737,DBV,ARN
DY,3737,DBV,BGO
DY,3737,DBV,HEL
DY,3737,DBV,LGW
DY,3737,DBV,OSL
DY,3737,DBV,TRD
DY,3737,DBV,TRF
DY,3737,DUB,CPH
DY,3737,DUB,HEL
DY,3737,DUB,OSL
DY,3737,EDI,ARN
DY,3737,EDI,BGO
DY,3737,EDI,CPH
DY,3737,EDI,OSL
DY,3737,EVE,ALC
DY,3737,EVE,OSL
DY,3737,EVE,TRD
DY,3737,FAO,ARN
DY,3737,FAO,CPH
DY,3737,FAO,LGW
DY,3737,FAO,OSL
DY,3737,FCO,ARN
DY,3737,FCO,BGO
DY,3737,FCO,CPH
DY,3737,FCO,GOT
DY,3737,FCO,HEL
DY,3737,FCO,LGW
DY,3737,FCO,OSL
DY,3737,GDN,OSL
DY,3737,GOT,AGP
DY,3737,GOT,ALC
DY,3737,GOT,ARN
DY,3737,GOT,BCN
DY,3737,GOT,FCO
DY,3737,GOT,LGW
DY,3737,GOT,NCE
DY,3737,GVA,OSL
DY,3737,HAM,AGP
DY,3737,HAM,ALC
DY,3737,HAM,BCN
DY,3737,HAM,OSL
DY,3737,HAU,OSL
DY,3737,HEL,AGP
DY,3737,HEL,ALC
DY,3737,HEL,ARN
DY,3737,HEL,ATH
DY,3737,HEL,BCN
DY,3737,HEL,BOJ
DY,3737,HEL,BUD
DY,3737,HEL,CHQ
DY,3737,HEL,CPH
DY,3737,HEL,DBV
DY,3737,HEL,DUB
DY,3737,HEL,FCO
DY,3737,HEL,LGW
DY,3737,HEL,NCE
DY,3737,HEL,ORY
DY,3737,HEL,OSL
DY,3737,HEL,OUL
DY,3737,HEL,PMI
DY,3737,HEL,PRG
DY,3737,HEL,RVN
DY,3737,HEL,SPU
DY,3737,IBZ,LGW
DY,3737,JTR,LGW
DY,3737,KBP,OSL
DY,3737,KKN,OSL
DY,3737,KRK,ARN
DY,3737,KRK,BGO
DY,3737,KRK,CPH
DY,3737,KRK,OSL
DY,3737,KRK,SVG
DY,3737,KRK,TRD
DY,3737,KRN,ARN
DY,3737,KRP,CPH
DY,3737,KRS,OSL
DY,3737,KSD,ALC
DY,3737,LGW,AAL
DY,3737,LGW,AES
DY,3737,LGW,AGP
DY,3737,LGW,ALC
DY,3737,LGW,ARN
DY,3737,LGW,BCN
DY,3737,LGW,BGO
DY,3737,LGW,BUD
DY,3737,LGW,CPH
DY,3737,LGW,CTA
DY,3737,LGW,DBV
DY,3737,LGW,FAO
DY,3737,LGW,FCO
DY,3737,LGW,GOT
DY,3737,LGW,HEL
DY,3737,LGW,IBZ
DY,3737,LGW,JTR
DY,3737,LGW,NCE
DY,3737,LGW,OSL
DY,3737,LGW,PMI
DY,3737,LGW,SPU
DY,3737,LGW,SVG
DY,3737,LGW,TOS
DY,3737,LGW,TRD
DY,3737,LGW,TRF
DY,3737,LIS,CPH
DY,3737,LIS,OSL
DY,3737,LLA,ARN
DY,3737,MAD,CPH
DY,3737,MAN,ARN
DY,3737,MAN,OSL
DY,3737,MAN,SVG
DY,3737,MJV,OSL
DY,3737,MLA,CPH
DY,3737,MLA,OSL
DY,3737,MMX,ARN
DY,3737,MOL,ALC
DY,3737,MOL,OSL
DY,3737,MUC,AGP
DY,3737,MUC,ALC
DY,3737,MUC,ARN
DY,3737,MUC,OSL
DY,3737,MXP,OSL
DY,3737,NCE,ARN
DY,3737,NCE,BGO
DY,3737,NCE,CPH
DY,3737,NCE,GOT
DY,3737,NCE,HEL
DY,3737,NCE,LGW
DY,3737,NCE,OSL
DY,3737,NCE,TRD
DY,3737,NCE,TRF
DY,3737,OLB,ARN
DY,3737,ORY,ARN
DY,3737,ORY,BGO
DY,3737,ORY,CPH
DY,3737,ORY,HEL
DY,3737,ORY,OSL
DY,3737,OSL,AES
DY,3737,OSL,AGP
DY,3737,OSL,AJA
DY,3737,OSL,ALC
DY,3737,OSL,ALF
DY,3737,OSL,AMS
DY,3737,OSL,ARN
DY,3737,OSL,ATH
DY,3737,OSL,AYT
DY,3737,OSL,BCN
DY,3737,OSL,BDU
DY,3737,OSL,BEG
DY,3737,OSL,BGO
DY,3737,OSL,BIO
DY,3737,OSL,BLL
DY,3737,OSL,BOJ
DY,3737,OSL,BOO
DY,3737,OSL,BTS
DY,3737,OSL,BUD
DY,3737,OSL,CGN
DY,3737,OSL,CHQ
DY,3737,OSL,CPH
DY,3737,OSL,DBV
DY,3737,OSL,DUB
DY,3737,OSL,EDI
DY,3737,OSL,EVE
DY,3737,OSL,FAO
DY,3737,OSL,FCO
DY,3737,OSL,GDN
DY,3737,OSL,GVA
DY,3737,OSL,HAM
DY,3737,OSL,HAU
DY,3737,OSL,HEL
DY,3737,OSL,KBP
DY,3737,OSL,KKN
DY,3737,OSL,KRK
DY,3737,OSL,KRS
DY,3737,OSL,LGW
DY,3737,OSL,LIS
DY,3737,OSL,MAN
DY,3737,OSL,MJV
DY,3737,OSL,MLA
DY,3737,OSL,MOL
DY,3737,OSL,MUC
DY,3737,OSL,MXP
DY,3737,OSL,NCE
DY,3737,OSL,ORY
DY,3737,OSL,PLQ
DY,3737,OSL,PMI
DY,3737,OSL,PRG
DY,3737,OSL,PSA
DY,3737,OSL,PUY
DY,3737,OSL,RIX
DY,3737,OSL,SPU
DY,3737,OSL,SVG
DY,3737,OSL,SXF
DY,3737,OSL,SZZ
DY,3737,OSL,TLL
DY,3737,OSL,TOS
DY,3737,OSL,TRD
DY,3737,OSL,VCE
DY,3737,OSL,VIE
DY,3737,OSL,VNO
DY,3737,OSL,WAW
DY,3737,OUL,ALC
DY,3737,OUL,HEL
DY,3737,PLQ,OSL
DY,3737,PMI,AAL
DY,3737,PMI,ARN
DY,3737,PMI,BGO
DY,3737,PMI,CPH
DY,3737,PMI,HEL
DY,3737,PMI,LGW
DY,3737,PMI,OSL
DY,3737,PMI,TRF
DY,3737,PMO,ARN
DY,3737,PRG,ARN
DY,3737,PRG,BGO
DY,3737,PRG,CPH
DY,3737,PRG,HEL
DY,3737,PRG,OSL
DY,3737,PSA,ARN
DY,3737,PSA,CPH
DY,3737,PSA,OSL
DY,3737,PUY,OSL
DY,3737,RIX,ARN
DY,3737,RIX,CPH
DY,3737,RIX,OSL
DY,3737,RIX,TRD
DY,3737,RVN,HEL
DY,3737,RYG,AGP
DY,3737,RYG,ALC
DY,3737,SJJ,ARN
DY,3737,SPU,ARN
DY,3737,SPU,CPH
DY,3737,SPU,HEL
DY,3737,SPU,LGW
DY,3737,SPU,OSL
DY,3737,SVG,AGP
DY,3737,SVG,ALC
DY,3737,SVG,BGO
DY,3737,SVG,KRK
DY,3737,SVG,LGW
DY,3737,SVG,MAN
DY,3737,SVG,OSL
DY,3737,SVG,SXF
DY,3737,SVG,WAW
DY,3737,SXF,ARN
DY,3737,SXF,BCN
DY,3737,SXF,BGO
DY,3737,SXF,CPH
DY,3737,SXF,OSL
DY,3737,SXF,SVG
DY,3737,SXF,TRD
DY,3737,SZZ,OSL
DY,3737,TKU,ALC
DY,3737,TLL,OSL
DY,3737,TOS,ALC
DY,3737,TOS,ALF
DY,3737,TOS,LGW
DY,3737,TOS,OSL
DY,3737,TOS,TRD
DY,3737,TRD,AGP
DY,3737,TRD,ALC
DY,3737,TRD,AYT
DY,3737,TRD,BGO
DY,3737,TRD,CPH
DY,3737,TRD,DBV
DY,3737,TRD,EVE
DY,3737,TRD,KRK
DY,3737,TRD,LGW
DY,3737,TRD,NCE
DY,3737,TRD,OSL
DY,3737,TRD,RIX
DY,3737,TRD,SXF
DY,3737,TRD,TOS
DY,3737,TRD,TRF
DY,3737,TRF,AGP
DY,3737,TRF,ALC
DY,3737,TRF,AYT
DY,3737,TRF,BCN
DY,3737,TRF,BGO
DY,3737,TRF,DBV
DY,3737,TRF,LGW
DY,3737,TRF,NCE
DY,3737,TRF,PMI
DY,3737,TRF,TRD
DY,3737,UME,ALC
DY,3737,UME,ARN
DY,3737,VAA,ARN
DY,3737,VCE,ARN
DY,3737,VCE,CPH
DY,3737,VCE,OSL
DY,3737,VIE,OSL
DY,3737,VNO,ARN
DY,3737,VNO,OSL
DY,3737,WAW,AGP
DY,3737,WAW,BCN
DY,3737,WAW,OSL
DY,3737,WAW,SVG
DY,3737,ZAG,CPH
EB,\N,MAD,BCN
EI,837,ABZ,DUB
EI,837,ADB,DUB
EI,837,AGP,BHD
EI,837,AGP,DUB
EI,837,AGP,ORK
EI,837,AGP,SNN
EI,837,ALC,DUB
EI,837,ALC,ORK
EI,837,AMS,DUB
EI,837,AMS,ORK
EI,837,ARN,DUB
EI,837,ATH,DUB
EI,837,BCN,DUB
EI,837,BCN,ORK
EI,837,BHD,AGP
EI,837,BHD,FAO
EI,837,BHD,LGW
EI,837,BHD,LHR
EI,837,BHD,PMI
EI,837,BHX,DUB
EI,837,BHX,ORK
EI,837,BHX,SNN
EI,837,BIO,DUB
EI,837,BLK,DUB
EI,837,BLQ,DUB
EI,837,BOD,DUB
EI,837,BOH,DUB
EI,837,BOJ,DUB
EI,837,BRS,DUB
EI,837,BRS,ORK
EI,837,BRS,SNN
EI,837,BRU,DUB
EI,837,BRU,ORK
EI,837,BUD,DUB
EI,837,CDG,DUB
EI,837,CDG,ORK
EI,837,CFU,DUB
EI,837,CPH,DUB
EI,837,CTA,DUB
EI,837,CWL,DUB
EI,837,DBV,DUB
EI,837,DUB,ABZ
EI,837,DUB,ADB
EI,837,DUB,AGP
EI,837,DUB,ALC
EI,837,DUB,AMS
EI,837,DUB,ARN
EI,837,DUB,ATH
EI,837,DUB,BCN
EI,837,DUB,BHX
EI,837,DUB,BIO
EI,837,DUB,BLK
EI,837,DUB,BLQ
EI,837,DUB,BOD
EI,837,DUB,BOH
EI,837,DUB,BOJ
EI,837,DUB,BRS
EI,837,DUB,BRU
EI,837,DUB,BUD
EI,837,DUB,CDG
EI,837,DUB,CFU
EI,837,DUB,CPH
EI,837,DUB,CTA
EI,837,DUB,CWL
EI,837,DUB,DBV
EI,837,DUB,DUS
EI,837,DUB,EDI
EI,837,DUB,FAO
EI,837,DUB,FCO
EI,837,DUB,FRA
EI,837,DUB,GLA
EI,837,DUB,GVA
EI,837,DUB,HAJ
EI,837,DUB,HAM
EI,837,DUB,IBZ
EI,837,DUB,IOM
EI,837,DUB,JER
EI,837,DUB,KIR
EI,837,DUB,LGW
EI,837,DUB,LHR
EI,837,DUB,LIN
EI,837,DUB,LIS
EI,837,DUB,LYS
EI,837,DUB,MAD
EI,837,DUB,MAN
EI,837,DUB,MRS
EI,837,DUB,MUC
EI,837,DUB,MXP
EI,837,DUB,NAP
EI,837,DUB,NCE
EI,837,DUB,NCL
EI,837,DUB,PGF
EI,837,DUB,PMI
EI,837,DUB,PRG
EI,837,DUB,PUY
EI,837,DUB,SCQ
EI,837,DUB,SEN
EI,837,DUB,STR
EI,837,DUB,SXF
EI,837,DUB,TLS
EI,837,DUB,VCE
EI,837,DUB,VIE
EI,837,DUB,VRN
EI,837,DUB,WAW
EI,837,DUB,ZRH
EI,837,DUS,DUB
EI,837,EDI,DUB
EI,837,EDI,ORK
EI,837,EDI,SNN
EI,837,FAO,BHD
EI,837,FAO,DUB
EI,837,FAO,ORK
EI,837,FAO,SNN
EI,837,FCO,DUB
EI,837,FRA,DUB
EI,837,GLA,DUB
EI,837,GLA,ORK
EI,837,GVA,DUB
EI,837,HAJ,DUB
EI,837,HAM,DUB
EI,837,IBZ,DUB
EI,837,IOM,DUB
EI,837,JER,DUB
EI,837,JER,ORK
EI,837,KIR,DUB
EI,837,LGW,BHD
EI,837,LGW,DUB
EI,837,LGW,NOC
EI,837,LHR,BHD
EI,837,LHR,DUB
EI,837,LHR,ORK
EI,837,LHR,SNN
EI,837,LIN,DUB
EI,837,LIS,DUB
EI,837,LIS,ORK
EI,837,LYS,DUB
EI,837,MAD,DUB
EI,837,MAN,DUB
EI,837,MAN,ORK
EI,837,MAN,SNN
EI,837,MRS,DUB
EI,837,MUC,DUB
EI,837,MUC,ORK
EI,837,MXP,DUB
EI,837,NAP,DUB
EI,837,NCE,DUB
EI,837,NCE,ORK
EI,837,NCL,DUB
EI,837,NCL,ORK
EI,837,NOC,LGW
EI,837,ORK,AGP
EI,837,ORK,ALC
EI,837,ORK,AMS
EI,837,ORK,BCN
EI,837,ORK,BHX
EI,837,ORK,BRS
EI,837,ORK,BRU
EI,837,ORK,CDG
EI,837,ORK,EDI
EI,837,ORK,FAO
EI,837,ORK,GLA
EI,837,ORK,JER
EI,837,ORK,LHR
EI,837,ORK,LIS
EI,837,ORK,MAN
EI,837,ORK,MUC
EI,837,ORK,NCE
EI,837,ORK,NCL
EI,837,ORK,PMI
EI,837,PGF,DUB
EI,837,PMI,BHD
EI,837,PMI,DUB
EI,837,PMI,ORK
EI,837,PRG,DUB
EI,837,PUY,DUB
EI,837,SCQ,DUB
EI,837,SEN,DUB
EI,837,SNN,AGP
EI,837,SNN,BHX
EI,837,SNN,BRS
EI,837,SNN,EDI
EI,837,SNN,FAO
EI,837,SNN,LHR
EI,837,SNN,MAN
EI,837,STR,DUB
EI,837,SXF,DUB
EI,837,TLS,DUB
EI,837,VCE,DUB
EI,837,VIE,DUB
EI,837,VRN,DUB
EI,837,WAW,DUB
EI,837,ZRH,DUB
EL,336,DOK,SKG
EL,336,SKG,DOK
EN,807,BRI,MUC
EN,807,FLR,MUC
EN,807,FRA,LIN
EN,807,FRA,VRN
EN,807,LIN,FRA
EN,807,MUC,BRI
EN,807,MUC,FLR
EN,807,MUC,VCE
EN,807,MUC,VRN
EN,807,VCE,MUC
EN,807,VRN,FRA
EN,807,VRN,MUC
ET,2220,AMS,FRA
ET,2220,ARN,CPH
ET,2220,ARN,FRA
ET,2220,ARN,HEL
ET,2220,ARN,OSL
ET,2220,BCN,FRA
ET,2220,BRU,CDG
ET,2220,BRU,FRA
ET,2220,BUD,FRA
ET,2220,CDG,BRU
ET,2220,CPH,ARN
ET,2220,CPH,FRA
ET,2220,DUS,FRA
ET,2220,FCO,MXP
ET,2220,FRA,AMS
ET,2220,FRA,ARN
ET,2220,FRA,BCN
ET,2220,FRA,BRU
ET,2220,FRA,BUD
ET,2220,FRA,CPH
ET,2220,FRA,DUS
ET,2220,FRA,GOT
ET,2220,FRA,GVA
ET,2220,FRA,HEL
ET,2220,FRA,LIS
ET,2220,FRA,LYS
ET,2220,FRA,MAD
ET,2220,FRA,MRS
ET,2220,FRA,MUC
ET,2220,FRA,MXP
ET,2220,FRA,OSL
ET,2220,FRA,OTP
ET,2220,FRA,PRG
ET,2220,FRA,TLS
ET,2220,FRA,TXL
ET,2220,FRA,VIE
ET,2220,FRA,WAW
ET,2220,FRA,ZRH
ET,2220,GOT,FRA
ET,2220,GVA,FRA
ET,2220,HEL,ARN
ET,2220,HEL,FRA
ET,2220,LIS,FRA
ET,2220,LYS,FRA
ET,2220,MAD,FRA
ET,2220,MRS,FRA
ET,2220,MUC,FRA
ET,2220,MXP,FCO
ET,2220,MXP,FRA
ET,2220,OSL,ARN
ET,2220,OSL,FRA
ET,2220,OTP,FRA
ET,2220,PRG,FRA
ET,2220,SOF,FRA
ET,2220,TLS,FRA
ET,2220,TXL,FRA
ET,2220,VIE,FRA
ET,2220,WAW,FRA
ET,2220,ZRH,FRA
EW,2260,HAM,AMS
EY,2222,AMS,BEG
EY,2222,AMS,LIS
EY,2222,AMS,OPO
EY,2222,ARN,BEG
EY,2222,BEG,AMS
EY,2222,BEG,ARN
EY,2222,BEG,FRA
EY,2222,BEG,LHR
EY,2222,BUD,FCO
EY,2222,CDG,TLS
EY,2222,FCO,BUD
EY,2222,FCO,MLA
EY,2222,FCO,OTP
EY,2222,FCO,ZRH
EY,2222,FRA,BEG
EY,2222,LIS,AGP
EY,2222,LIS,AMS
EY,2222,LIS,PXO
EY,2222,MRS,CDG
EY,2222,OPO,AMS
EY,2222,OTP,FCO
EY,2222,PXO,LIS
EY,2222,ZRH,FCO
F7,2420,AMS,LEJ
F7,2420,BEG,GVA
F7,2420,BOD,GVA
F7,2420,BZO,FCO
F7,2420,CDG,LEJ
F7,2420,CTA,LMP
F7,2420,FCO,BZO
F7,2420,FCO,GVA
F7,2420,FLR,GVA
F7,2420,FLR,ZRH
F7,2420,GVA,BEG
F7,2420,GVA,BOD
F7,2420,GVA,FCO
F7,2420,GVA,FLR
F7,2420,GVA,LUG
F7,2420,GVA,STR
F7,2420,GVA,TLS
F7,2420,GVA,VLC
F7,2420,GVA,ZRH
F7,2420,LEJ,AMS
F7,2420,LEJ,CDG
F7,2420,LEJ,ZRH
