Airline,Airline ID,Source airport,Destination airport
4U,2548,DUS,IBZ
4U,2548,DUS,KTW
4U,2548,DUS,LEJ
4U,2548,DUS,LYS
4U,2548,DUS,MAD
4U,2548,DUS,MPL
4U,2548,DUS,MXP
4U,2548,DUS,NQY
4U,2548,DUS,NUE
4U,2548,DUS,OLB
4U,2548,DUS,PMI
4U,2548,DUS,POZ
4U,2548,DUS,PRG
4U,2548,DUS,PRN
4U,2548,DUS,SKG
4U,2548,DUS,SPU
4U,2548,DUS,SUF
4U,2548,DUS,TRN
4U,2548,DUS,VCE
4U,2548,DUS,WAW
4U,2548,DUS,WRO
4U,2548,DUS,ZAD
4U,2548,EDI,CGN
4U,2548,FAO,CGN
4U,2548,FAO,HAM
4U,2548,FAO,STR
4U,2548,FCO,CGN
4U,2548,FCO,HAJ
4U,2548,FCO,HAM
4U,2548,FCO,STR
4U,2548,FCO,TXL
4U,2548,FDH,CGN
4U,2548,FKB,HAM
4U,2548,FMM,HAM
4U,2548,FMM,TXL
4U,2548,FRA,HDF
4U,2548,GVA,DUS
4U,2548,GVA,HAM
4U,2548,HAJ,BCN
4U,2548,HAJ,CTA
4U,2548,HAJ,DBV
4U,2548,HAJ,FCO
4U,2548,HAJ,HER
4U,2548,HAJ,MXP
4U,2548,HAJ,NAP
4U,2548,HAJ,PMI
4U,2548,HAJ,PRN
4U,2548,HAJ,SAW
4U,2548,HAJ,SKG
4U,2548,HAJ,SPU
4U,2548,HAJ,STN
4U,2548,HAJ,STR
4U,2548,HAJ,SUF
4U,2548,HAJ,VCE
4U,2548,HAJ,VIE
4U,2548,HAM,AMS
4U,2548,HAM,ARN
4U,2548,HAM,BCN
4U,2548,HAM,BGO
4U,2548,HAM,BHX
4U,2548,HAM,BIA
4U,2548,HAM,BUD
4U,2548,HAM,CDG
4U,2548,HAM,CGN
4U,2548,HAM,CTA
4U,2548,HAM,DBV
4U,2548,HAM,FAO
4U,2548,HAM,FCO
4U,2548,HAM,FKB
4U,2548,HAM,FMM
4U,2548,HAM,GVA
4U,2548,HAM,HER
4U,2548,HAM,KLU
4U,2548,HAM,LHR
4U,2548,HAM,MAD
4U,2548,HAM,MAN
4U,2548,HAM,MXP
4U,2548,HAM,NAP
4U,2548,HAM,NCE
4U,2548,HAM,NUE
4U,2548,HAM,OLB
4U,2548,HAM,OSL
4U,2548,HAM,PMI
4U,2548,HAM,PRG
4U,2548,HAM,PRN
4U,2548,HAM,RJK
4U,2548,HAM,SAW
4U,2548,HAM,SKG
4U,2548,HAM,SPU
4U,2548,HAM,STR
4U,2548,HAM,TLS
4U,2548,HAM,VCE
4U,2548,HAM,VIE
4U,2548,HAM,VRN
4U,2548,HAM,ZRH
4U,2548,HDF,CGN
4U,2548,HDF,DTM
