Airline,Airline ID,Source airport,Destination airport,Source Latitude,Source Longitude,Destination Latitude,Destination Longitude,Distance
2L,2750,BDS,ZRH,40.6576,17.947001,47.464699,8.54917,1064.7408432924565
2L,2750,BOD,ZRH,44.8283004761,-0.7155560255050001,47.464699,8.54917,770.9701783806116
2L,2750,BRS,ZRH,51.382702,-2.71909,47.464699,8.54917,922.7610697261699
2L,2750,ZRH,BDS,47.464699,8.54917,40.6576,17.947001,1064.7408432924565
2L,2750,ZRH,BOD,47.464699,8.54917,44.8283004761,-0.7155560255050001,770.9701783806116
2L,2750,ZRH,BRS,47.464699,8.54917,51.382702,-2.71909,922.7610697261699
2N,3652,AJR,LYC,65.59030151367189,19.28190040588379,64.54830169677734,18.71619987487793,118.85904094007392
2N,3652,ARN,GEV,59.65190124511699,17.918600082397,67.13240051269531,20.814599990844727,843.9758148468123
2N,3652,ARN,HAD,59.65190124511699,17.918600082397,56.69110107421875,12.820199966430664,444.47843726187915
2N,3652,ARN,JKG,59.65190124511699,17.918600082397,57.75759887695313,14.068699836730955,306.20541977348506
2N,3652,ARN,KRF,59.65190124511699,17.918600082397,63.04859924316406,17.76889991760254,377.77962351832747
2N,3652,ARN,KSD,59.65190124511699,17.918600082397,59.4446983337,13.3374004364,259.14683110204675
2N,3652,ARN,LYC,59.65190124511699,17.918600082397,64.54830169677734,18.71619987487793,546.0229776499898
2N,3652,ARN,MHQ,59.65190124511699,17.918600082397,60.122200012207,19.898199081421,122.18564500712132
2N,3652,ARN,OER,59.65190124511699,17.918600082397,63.40829849243164,18.989999771118164,421.5199429806096
2N,3652,ARN,POR,59.65190124511699,17.918600082397,61.46170043945301,21.799999237061,292.32656992518366
2N,3652,ARN,TRF,59.65190124511699,17.918600082397,59.1866989136,10.258600235,436.15828742943165
2N,3652,ARN,VBY,59.65190124511699,17.918600082397,57.662799835205,18.346200942993,222.55517159028344
2N,3652,ARN,VHM,59.65190124511699,17.918600082397,64.5791015625,16.833599090576172,550.7566446512778
2N,3652,ARN,VXO,59.65190124511699,17.918600082397,56.929100036621094,14.727999687194824,355.49050697254825
2N,3652,GEV,ARN,67.13240051269531,20.814599990844727,59.65190124511699,17.918600082397,843.9758148468123
2N,3652,GEV,KRF,67.13240051269531,20.814599990844727,63.04859924316406,17.76889991760254,475.83525850542134
2N,3652,HAD,ARN,56.69110107421875,12.820199966430664,59.65190124511699,17.918600082397,444.47843726187915
2N,3652,HAD,JKG,56.69110107421875,12.820199966430664,57.75759887695313,14.068699836730955,140.392359401131
2N,3652,HAD,VXO,56.69110107421875,12.820199966430664,56.929100036621094,14.727999687194824,119.10046954751851
2N,3652,HMV,VHM,65.80609893798828,15.082799911499023,64.5791015625,16.833599090576172,159.00438759313695
2N,3652,JKG,ARN,57.75759887695313,14.068699836730955,59.65190124511699,17.918600082397,306.20541977348506
2N,3652,JKG,HAD,57.75759887695313,14.068699836730955,56.69110107421875,12.820199966430664,140.392359401131
2N,3652,KOK,POR,63.721199035645,23.143100738525,61.46170043945301,21.799999237061,260.4663541282297
2N,3652,KRF,ARN,63.04859924316406,17.76889991760254,59.65190124511699,17.918600082397,377.77962351832747
2N,3652,KRF,GEV,63.04859924316406,17.76889991760254,67.13240051269531,20.814599990844727,475.83525850542134
2N,3652,KSD,ARN,59.4446983337,13.3374004364,59.65190124511699,17.918600082397,259.14683110204675
2N,3652,LYC,AJR,64.54830169677734,18.71619987487793,65.59030151367189,19.28190040588379,118.85904094007392
2N,3652,LYC,ARN,64.54830169677734,18.71619987487793,59.65190124511699,17.918600082397,546.0229776499898
2N,3652,MHQ,ARN,60.122200012207,19.898199081421,59.65190124511699,17.918600082397,122.18564500712132
2N,3652,MHQ,TKU,60.122200012207,19.898199081421,60.514099121094,22.262800216675,137.28935130200296
2N,3652,OER,ARN,63.40829849243164,18.989999771118164,59.65190124511699,17.918600082397,421.5199429806096
2N,3652,OSL,VXO,60.121,11.0502,56.929100036621094,14.727999687194824,414.0599300188711
