Source airport,Destination airport
STN,HAJ
STN,STR
STR,AGP
STR,ATH
STR,BCN
STR,BDS
STR,BEG
STR,BIA
STR,BIO
STR,BRE
STR,BRI
STR,BRU
STR,BUD
STR,CAG
STR,CFU
STR,CTA
STR,DBV
STR,DRS
STR,FAO
STR,FCO
STR,HAJ
STR,HAM
STR,HDF
STR,HER
STR,IBZ
STR,KRK
STR,KVA
STR,LEJ
STR,LHR
STR,LIS
STR,MXP
STR,NAP
STR,OLB
STR,PMI
STR,PRN
STR,RJK
STR,RLG
STR,SAW
STR,SJJ
STR,SKG
STR,SPU
STR,STN
STR,SUF
STR,TXL
STR,VIE
STR,ZAD
STR,ZAG
SUF,CGN
SUF,DUS
SUF,HAJ
SUF,STR
SZG,CGN
TLS,HAM
TRN,DUS
TXL,AGP
TXL,AOI
TXL,BHX
TXL,BIA
TXL,BLQ
TXL,CGN
TXL,CTA
TXL,DBV
TXL,FCO
TXL,FMM
TXL,HEL
TXL,HER
TXL,IBZ
TXL,KLU
TXL,LHR
TXL,LIN
TXL,NCE
TXL,NUE
TXL,PMI
TXL,PRN
TXL,SAW
TXL,SJJ
TXL,SPU
TXL,STR
TXL,VIE
TXL,VRN
TXL,ZAD
VCE,CGN
VCE,DUS
VCE,HAJ
VCE,HAM
VIE,CGN
VIE,HAJ
VIE,HAM
VIE,STR
VIE,TXL
VRN,CGN
VRN,HAM
VRN,TXL
WAW,CGN
WAW,DUS
WRO,DUS
XRY,CGN
ZAD,CGN
ZAD,DUS
ZAD,STR
ZAD,TXL
ZAG,CGN
ZAG,STR
ZRH,CGN
ZRH,HAM
CPH,SGD
SGD,CPH
GWT,HAM
HAM,GWT
ATH,KIV
BLQ,KIV
BVA,KIV
DUB,KIV
FCO,KIV
FRA,KIV
KBP,KIV
KIV,ATH
KIV,BLQ
KIV,BVA
KIV,DUB
KIV,FCO
KIV,FRA
KIV,KBP
KIV,LIS
KIV,MXP
KIV,OTP
KIV,STN
KIV,VCE
KIV,VRN
LIS,KIV
MXP,KIV
OTP,KIV
STN,KIV
VCE,KIV
VRN,KIV
ATH,JSH
CFU,SKG
JKH,SKG
JSH,ATH
KLX,SKG
SKG,CFU
