Source Airport IATA,Destination Airport IATA,Source City,Source Country,Destination City,Destination Country,Source Latitude,Source Longitude,Destination Latitude,Destination Longitude,Distance
BDS,ZRH,Brindisi,Italy,Zurich,Switzerland,40.6576,17.947001,47.464699,8.54917,1064.7408432924565
BOD,ZRH,Bordeaux,France,Zurich,Switzerland,44.8283004761,-0.7155560255050001,47.464699,8.54917,770.9701783806116
BRS,ZRH,Bristol,United Kingdom,Zurich,Switzerland,51.382702,-2.71909,47.464699,8.54917,922.7610697261699
ZRH,BDS,Zurich,Switzerland,Brindisi,Italy,47.464699,8.54917,40.6576,17.947001,1064.7408432924565
ZRH,BOD,Zurich,Switzerland,Bordeaux,France,47.464699,8.54917,44.8283004761,-0.7155560255050001,770.9701783806116
ZRH,BRS,Zurich,Switzerland,Bristol,United Kingdom,47.464699,8.54917,51.382702,-2.71909,922.7610697261699
AJR,LYC,Arvidsjaur,Sweden,Lycksele,Sweden,65.59030151367189,19.28190040588379,64.54830169677734,18.71619987487793,118.85904094007392
ARN,GEV,Stockholm,Sweden,Gallivare,Sweden,59.65190124511699,17.918600082397,67.13240051269531,20.814599990844727,843.9758148468123
ARN,HAD,Stockholm,Sweden,Halmstad,Sweden,59.65190124511699,17.918600082397,56.69110107421875,12.820199966430664,444.47843726187915
ARN,JKG,Stockholm,Sweden,Joenkoeping,Sweden,59.65190124511699,17.918600082397,57.75759887695313,14.068699836730955,306.20541977348506
ARN,KRF,Stockholm,Sweden,Kramfors,Sweden,59.65190124511699,17.918600082397,63.04859924316406,17.76889991760254,377.77962351832747
ARN,KSD,Stockholm,Sweden,Karlstad,Sweden,59.65190124511699,17.918600082397,59.4446983337,13.3374004364,259.14683110204675
ARN,LYC,Stockholm,Sweden,Lycksele,Sweden,59.65190124511699,17.918600082397,64.54830169677734,18.71619987487793,546.0229776499898
ARN,MHQ,Stockholm,Sweden,Mariehamn,Finland,59.65190124511699,17.918600082397,60.122200012207,19.898199081421,122.18564500712132
ARN,OER,Stockholm,Sweden,Ornskoldsvik,Sweden,59.65190124511699,17.918600082397,63.40829849243164,18.989999771118164,421.5199429806096
ARN,POR,Stockholm,Sweden,Pori,Finland,59.65190124511699,17.918600082397,61.46170043945301,21.799999237061,292.32656992518366
