Source Airport IATA,Destination Airport IATA,Source City,Source Country,Destination City,Destination Country,Source Latitude,Source Longitude,Destination Latitude,Destination Longitude,Distance,Estimated Cost
VHM,HMV,Vilhelmina,Sweden,Hemavan,Sweden,64.5791015625,16.833599090576172,65.80609893798828,15.082799911499023,159.00438759313695,56
VXO,ARN,Vaxjo,Sweden,Stockholm,Sweden,56.929100036621094,14.727999687194824,59.65190124511699,17.918600082397,355.49050697254825,93
VXO,OSL,Vaxjo,Sweden,Oslo,Norway,56.929100036621094,14.727999687194824,60.121,11.0502,414.0599300188711,104
ACH,EBA,Altenrhein,Switzerland,Marina Di Campo,Italy,47.4850006104,9.560770034789998,42.7603,10.2394,528.0477740811091,126
DRS,ZRH,Dresden,Germany,Zurich,Switzerland,51.1328010559082,13.767200469970703,47.464699,8.54917,556.0760974015303,131
DUS,FDH,Duesseldorf,Germany,Friedrichshafen,Germany,51.289501,6.766780000000001,47.671298980699994,9.511489868160002,448.4569213226282,111
EBA,ACH,Marina Di Campo,Italy,Altenrhein,Switzerland,42.7603,10.2394,47.4850006104,9.560770034789998,528.0477740811091,126
EBA,FDH,Marina Di Campo,Italy,Friedrichshafen,Germany,42.7603,10.2394,47.671298980699994,9.511489868160002,549.0393898748847,130
EBA,MUC,Marina Di Campo,Italy,Munich,Germany,42.7603,10.2394,48.353802,11.7861,633.4820175620449,152
EBA,ZRH,Marina Di Campo,Italy,Zurich,Switzerland,42.7603,10.2394,47.464699,8.54917,539.621197131775,128
FDH,DUS,Friedrichshafen,Germany,Duesseldorf,Germany,47.671298980699994,9.511489868160002,51.289501,6.766780000000001,448.4569213226282,111
FDH,EBA,Friedrichshafen,Germany,Marina Di Campo,Italy,47.671298980699994,9.511489868160002,42.7603,10.2394,549.0393898748847,130
FDH,HAM,Friedrichshafen,Germany,Hamburg,Germany,47.671298980699994,9.511489868160002,53.630401611328,9.988229751586902,663.4696987641304,158
FDH,OLB,Friedrichshafen,Germany,Olbia,Italy,47.671298980699994,9.511489868160002,40.898701,9.51763,753.0786935544605,176
FDH,TXL,Friedrichshafen,Germany,Berlin,Germany,47.671298980699994,9.511489868160002,52.5597,13.2877,606.3933738980058,147
FDH,ZAD,Friedrichshafen,Germany,Zadar,Croatia,47.671298980699994,9.511489868160002,44.108299,15.3467,600.4676451795789,146
FMM,NAP,Memmingen,Germany,Naples,Italy,47.9888000488,10.2395000458,40.886002000000005,14.2908,852.4672741359705,196
GRZ,ZRH,Graz,Austria,Zurich,Switzerland,46.9911003112793,15.439599990844728,47.464699,8.54917,522.7845543929949,125
HAM,FDH,Hamburg,Germany,Friedrichshafen,Germany,53.630401611328,9.988229751586902,47.671298980699994,9.511489868160002,663.4696987641304,158
MUC,EBA,Munich,Germany,Marina Di Campo,Italy,48.353802,11.7861,42.7603,10.2394,633.4820175620449,152
NAP,FMM,Naples,Italy,Memmingen,Germany,40.886002000000005,14.2908,47.9888000488,10.2395000458,852.4672741359705,196
OLB,FDH,Olbia,Italy,Friedrichshafen,Germany,40.898701,9.51763,47.671298980699994,9.511489868160002,753.0786935544605,176
SZG,ZRH,Salzburg,Austria,Zurich,Switzerland,47.7933006287,13.0043001175,47.464699,8.54917,335.80182354772097,89
TXL,FDH,Berlin,Germany,Friedrichshafen,Germany,52.5597,13.2877,47.671298980699994,9.511489868160002,606.3933738980058,147
ZAD,FDH,Zadar,Croatia,Friedrichshafen,Germany,44.108299,15.3467,47.671298980699994,9.511489868160002,600.4676451795789,146
ZRH,DRS,Zurich,Switzerland,Dresden,Germany,47.464699,8.54917,51.1328010559082,13.767200469970703,556.0760974015303,131
ZRH,EBA,Zurich,Switzerland,Marina Di Campo,Italy,47.464699,8.54917,42.7603,10.2394,539.621197131775,128
ZRH,GRZ,Zurich,Switzerland,Graz,Austria,47.464699,8.54917,46.9911003112793,15.439599990844728,522.7845543929949,125
ZRH,SZG,Zurich,Switzerland,Salzburg,Austria,47.464699,8.54917,47.7933006287,13.0043001175,335.80182354772097,89
AYT,ZRH,Antalya,Turkey,Zurich,Switzerland,36.898701,30.800501,47.464699,8.54917,2165.571145859899,567
PRN,ZRH,Pristina,Serbia,Zurich,Switzerland,42.5728,21.035801,47.464699,8.54917,1120.222553119081,272
SKP,ZRH,Skopje,Macedonia,Zurich,Switzerland,41.961601,21.621401,47.464699,8.54917,1198.2981048409072,289
ZRH,AYT,Zurich,Switzerland,Antalya,Turkey,47.464699,8.54917,36.898701,30.800501,2165.571145859899,567
ZRH,PRN,Zurich,Switzerland,Pristina,Serbia,47.464699,8.54917,42.5728,21.035801,1120.222553119081,272
ZRH,SKP,Zurich,Switzerland,Skopje,Macedonia,47.464699,8.54917,41.961601,21.621401,1198.2981048409072,289
AGP,STR,Malaga,Spain,Stuttgart,Germany,36.67490005493164,-4.499110221862793,48.6898994446,9.22196006775,1738.875525214008,460
AGP,TXL,Malaga,Spain,Berlin,Germany,36.67490005493164,-4.499110221862793,52.5597,13.2877,2245.8757428290896,587
AMS,HAM,Amsterdam,Netherlands,Hamburg,Germany,52.308601,4.76389,53.630401611328,9.988229751586902,379.356902650655,98
AOI,DUS,Ancona,Italy,Duesseldorf,Germany,43.616299,13.3623,51.289501,6.766780000000001,985.9470500757208,223
AOI,TXL,Ancona,Italy,Berlin,Germany,43.616299,13.3623,52.5597,13.2877,994.4761069085556,224
ARN,CGN,Stockholm,Sweden,Cologne,Germany,59.65190124511699,17.918600082397,50.8658981323,7.1427397728,1188.763786523187,287
ARN,DUS,Stockholm,Sweden,Duesseldorf,Germany,59.65190124511699,17.918600082397,51.289501,6.766780000000001,1162.4021441822888,281
ARN,HAM,Stockholm,Sweden,Hamburg,Germany,59.65190124511699,17.918600082397,53.630401611328,9.988229751586902,825.5040617457934,191
ATH,CGN,Athens,Greece,Cologne,Germany,37.9364013672,23.944499969499997,50.8658981323,7.1427397728,1952.6899886186536,514
ATH,STR,Athens,Greece,Stuttgart,Germany,37.9364013672,23.944499969499997,48.6898994446,9.22196006775,1682.158036173202,446
AYT,CGN,Antalya,Turkey,Cologne,Germany,36.898701,30.800501,50.8658981323,7.1427397728,2432.083840357316,634
BCN,CGN,Barcelona,Spain,Cologne,Germany,41.2971,2.07846,50.8658981323,7.1427397728,1132.7456900354834,275
BCN,DUS,Barcelona,Spain,Duesseldorf,Germany,41.2971,2.07846,51.289501,6.766780000000001,1167.4145868113608,282
BCN,HAJ,Barcelona,Spain,Hannover,Germany,41.2971,2.07846,52.461101532,9.68507957458,1367.6018130093164,326
BCN,HAM,Barcelona,Spain,Hamburg,Germany,41.2971,2.07846,53.630401611328,9.988229751586902,1492.5636307154116,354
BCN,STR,Barcelona,Spain,Stuttgart,Germany,41.2971,2.07846,48.6898994446,9.22196006775,994.6559866495118,224
BDS,STR,Brindisi,Italy,Stuttgart,Germany,40.6576,17.947001,48.6898994446,9.22196006775,1127.022171906222,273
BEG,STR,Belgrade,Serbia,Stuttgart,Germany,44.8184013367,20.3090991974,48.6898994446,9.22196006775,946.775822209756,215
BGO,HAM,Bergen,Norway,Hamburg,Germany,60.29339981,5.218140125,53.630401611328,9.988229751586902,794.8250293945966,184
BHX,HAM,Birmingham,United Kingdom,Hamburg,Germany,52.4538993835,-1.7480299472799998,53.630401611328,9.988229751586902,794.4900140144011,184
BHX,TXL,Birmingham,United Kingdom,Berlin,Germany,52.4538993835,-1.7480299472799998,52.5597,13.2877,1015.8542608423148,249
BIA,CGN,Bastia,France,Cologne,Germany,42.55270004272461,9.48373031616211,50.8658981323,7.1427397728,941.3290366127146,214
BIA,DUS,Bastia,France,Duesseldorf,Germany,42.55270004272461,9.48373031616211,51.289501,6.766780000000001,992.9733168088554,224
BIA,HAM,Bastia,France,Hamburg,Germany,42.55270004272461,9.48373031616211,53.630401611328,9.988229751586902,1232.3455823149216,297
BIA,STR,Bastia,France,Stuttgart,Germany,42.55270004272461,9.48373031616211,48.6898994446,9.22196006775,682.7278194714254,162
BIA,TXL,Bastia,France,Berlin,Germany,42.55270004272461,9.48373031616211,52.5597,13.2877,1148.3378583755034,278
BIO,DUS,Bilbao,Spain,Duesseldorf,Germany,43.30110168457031,-2.9106099605560303,51.289501,6.766780000000001,1147.6346590297217,278
BIO,STR,Bilbao,Spain,Stuttgart,Germany,43.30110168457031,-2.9106099605560303,48.6898994446,9.22196006775,1110.41030619376,270
BLQ,CGN,Bologna,Italy,Cologne,Germany,44.5354,11.2887,50.8658981323,7.1427397728,768.9528126133032,179
BLQ,TXL,Bologna,Italy,Berlin,Germany,44.5354,11.2887,52.5597,13.2877,904.2179487381708,206
